Date,Location,Crime_Incidents
2023-06-05,North,11
2023-09-19,North,12
2023-05-13,North,16
2023-08-11,North,17
2023-05-21,North,25
2023-01-18,North,26
2023-05-29,North,19
2023-01-25,North,11
2023-07-13,South,28
2023-02-03,South,10
2023-01-16,South,20
2023-11-06,South,19
2023-02-27,South,23
2023-07-03,South,11
2023-03-18,South,23
2023-04-30,South,20
2023-06-02,South,23
2023-05-07,South,18
2023-12-05,South,22
2023-02-09,South,21
2023-11-01,South,24
2023-02-25,South,12
2023-05-18,South,25
2023-10-28,South,10
2023-01-01,South,15
2023-10-03,South,10
2023-11-26,South,11
2023-04-12,South,10
2023-01-10,South,26
2023-06-15,South,19
2023-03-14,South,26
2023-09-11,South,14
2023-09-06,South,10
2023-07-15,South,12
2023-08-09,South,16
2023-10-20,South,29
2023-12-16,South,11
2023-12-28,South,16
2023-01-26,South,24
2023-04-19,South,11
2023-02-12,South,21
2023-12-19,South,18
2023-07-16,South,22
2023-04-25,South,11
2023-03-05,South,29
2023-01-23,South,12
2023-12-09,South,11
2023-11-28,South,15
2023-08-31,South,10
2023-12-12,South,13
2023-01-31,South,28
2023-10-25,South,19
2023-04-20,South,15
2023-08-23,South,19
2023-04-01,South,23
2023-02-26,South,29
2023-01-06,South,11
2023-02-15,South,23
2023-08-22,South,20
2023-12-13,South,15
2023-10-11,South,20
2023-09-20,South,21
2023-06-26,South,21
2023-12-04,South,18
2023-04-04,South,29
2023-01-04,South,28
2023-12-26,South,10
2023-03-19,South,24
2023-08-26,South,25
2023-12-14,South,28
2023-03-20,South,15
2023-02-16,South,26
2023-09-23,South,23
2023-03-15,South,17
2023-08-13,South,12
2023-05-05,South,18
2023-07-23,South,13
2023-03-24,South,15
2023-04-05,South,10
2023-07-12,South,28
2023-11-22,South,23
2023-07-31,South,14
2023-12-07,South,20
2023-07-22,South,17
2023-03-17,South,27
2023-03-26,South,17
2023-12-20,South,28
2023-01-17,South,29
2023-03-08,South,15
2023-09-29,South,12
2023-01-08,South,11
2023-04-24,South,24
2023-04-27,South,21
2023-11-20,South,28
2023-11-15,South,17
2023-09-13,South,14
2023-10-29,South,17
2023-04-21,South,16
2023-11-18,South,10
2023-03-02,South,16
2023-06-05,South,17
2023-09-19,South,15
2023-05-13,South,29
2023-08-11,South,26
2023-05-21,South,12
2023-01-18,South,11
2023-05-29,South,22
2023-01-25,South,21
2023-07-13,West,14
2023-02-03,West,12
2023-01-16,West,24
2023-11-06,West,11
2023-02-27,West,15
2023-07-03,West,29
2023-03-18,West,15
2023-04-30,West,26
2023-06-02,West,17
2023-05-07,West,14
2023-12-05,West,11
2023-02-09,West,24
2023-11-01,West,10
2023-02-25,West,14
2023-05-18,West,17
2023-10-28,West,25
2023-01-01,West,12
2023-10-03,West,21
2023-11-26,West,12
2023-04-12,West,22
2023-01-10,West,28
2023-06-15,West,11
2023-03-14,West,13
2023-09-11,West,23
2023-09-06,West,18
2023-07-15,West,10
2023-08-09,West,15
2023-10-20,West,26
2023-12-16,West,27
2023-12-28,West,24
2023-01-26,West,26
2023-04-19,West,14
2023-02-12,West,17
2023-12-19,West,16
2023-07-16,West,15
2023-04-25,West,11
2023-03-05,West,12
2023-01-23,West,14
2023-12-09,West,20
2023-11-28,West,24
2023-08-31,West,19
2023-12-12,West,29
2023-01-31,West,29
2023-10-25,West,28
2023-04-20,West,19
2023-08-23,West,21
2023-04-01,West,10
2023-02-26,West,10
2023-01-06,West,23
2023-02-15,West,21
2023-08-22,West,20
2023-12-13,West,14
2023-10-11,West,27
2023-09-20,West,19
2023-06-26,West,28
2023-12-04,West,17
2023-04-04,West,21
2023-01-04,West,24
2023-12-26,West,11
2023-03-19,West,28
2023-08-26,West,25
2023-12-14,West,23
2023-03-20,West,11
2023-02-16,West,28
2023-09-23,West,12
2023-03-15,West,24
2023-08-13,West,23
2023-05-05,West,12
2023-07-23,West,17
2023-03-24,West,28
2023-04-05,West,24
2023-07-12,West,19
2023-11-22,West,27
2023-07-31,West,28
2023-12-07,West,23
2023-07-22,West,24
2023-03-17,West,26
2023-03-26,West,21
2023-12-20,West,10
2023-01-17,West,22
2023-03-08,West,14
2023-09-29,West,27
2023-01-08,West,22
2023-04-24,West,17
2023-04-27,West,10
2023-11-20,West,11
2023-11-15,West,12
2023-09-13,West,10
2023-10-29,West,17
2023-04-21,West,21
2023-11-18,West,28
2023-03-02,West,13
2023-06-05,West,17
2023-09-19,West,18
2023-05-13,West,11
2023-08-11,West,17
2023-05-21,West,18
2023-01-18,West,27
2023-05-29,West,13
2023-01-25,West,16
